央视频道,#genre#
云南卫视,http://171.8.194.206:8800/rtp/239.16.10.19:2000
云南卫视,http://171.8.85.62:8800/rtp/239.16.10.19:2000
青海卫视,http://171.8.194.206:8800/rtp/239.16.10.107:2000
青海卫视,http://171.8.85.62:8800/rtp/239.16.10.107:2000
西藏卫视,http://171.8.194.206:8800/rtp/239.16.10.106:2000
西藏卫视,http://171.8.85.62:8800/rtp/239.16.10.106:2000
金鹰卡通,http://171.8.194.206:8800/rtp/239.16.10.115:2000
金鹰卡通,http://171.8.85.62:8800/rtp/239.16.10.115:2000
数字频道,#genre#
生活时尚,http://171.8.194.206:8800/rtp/239.16.10.243:2000
生活时尚,http://171.8.85.62:8800/rtp/239.16.10.243:2000
国学频道,http://171.8.194.206:8800/rtp/239.16.10.217:2000
国学频道,http://171.8.85.62:8800/rtp/239.16.10.217:2000
茶频道,http://171.8.194.206:8800/rtp/239.16.10.237:2000
茶频道,http://171.8.85.62:8800/rtp/239.16.10.237:2000
快乐垂钓,http://171.8.194.206:8800/rtp/239.16.10.236:2000
快乐垂钓,http://171.8.85.62:8800/rtp/239.16.10.236:2000
游戏风云,http://171.8.194.206:8800/rtp/239.16.10.241:2000
游戏风云,http://171.8.85.62:8800/rtp/239.16.10.241:2000
教育频道,#genre#
中国教育1,http://171.8.194.206:8800/rtp/239.16.10.12:2000
中国教育1,http://171.8.85.62:8800/rtp/239.16.10.12:2000
CGTN,http://171.8.194.206:8800/rtp/239.16.20.252:12520
CGTN,http://171.8.85.62:8800/rtp/239.16.20.252:12520
华东地区,#genre#
东方财经,http://171.8.194.206:8800/rtp/239.16.10.235:2000
东方财经,http://171.8.85.62:8800/rtp/239.16.10.235:2000
华中地区,#genre#
河南都市,http://171.8.194.206:8800/rtp/239.16.10.120:2000
河南都市,http://171.8.85.62:8800/rtp/239.16.10.120:2000
河南民生,http://171.8.194.206:8800/rtp/239.16.10.121:2000
河南民生,http://171.8.85.62:8800/rtp/239.16.10.121:2000
河南法治,http://171.8.194.206:8800/rtp/239.16.10.122:2000
河南法治,http://171.8.85.62:8800/rtp/239.16.10.122:2000
河南电视剧,http://171.8.194.206:8800/rtp/239.16.10.123:2000
河南电视剧,http://171.8.85.62:8800/rtp/239.16.10.123:2000
河南新闻,http://171.8.194.206:8800/rtp/239.16.10.124:2000
河南新闻,http://171.8.85.62:8800/rtp/239.16.10.124:2000
河南公共,http://171.8.194.206:8800/rtp/239.16.10.126:2000
河南公共,http://171.8.85.62:8800/rtp/239.16.10.126:2000
河南乡村,http://171.8.194.206:8800/rtp/239.16.10.181:2000
河南乡村,http://171.8.85.62:8800/rtp/239.16.10.181:2000
郑州新闻,http://171.8.194.206:8800/rtp/239.16.10.154:2000
郑州新闻,http://171.8.85.62:8800/rtp/239.16.10.154:2000
郑州商都,http://171.8.194.206:8800/rtp/239.16.10.155:2000
郑州商都,http://171.8.85.62:8800/rtp/239.16.10.155:2000
郑州文旅,http://171.8.194.206:8800/rtp/239.16.10.156:2000
郑州文旅,http://171.8.85.62:8800/rtp/239.16.10.156:2000
郑州影视,http://171.8.194.206:8800/rtp/239.16.10.157:2000
郑州影视,http://171.8.85.62:8800/rtp/239.16.10.157:2000
河南文博,http://171.8.194.206:8800/rtp/239.16.10.149:2000
河南文博,http://171.8.85.62:8800/rtp/239.16.10.149:2000
河南功夫,http://171.8.194.206:8800/rtp/239.16.10.150:2000
河南功夫,http://171.8.85.62:8800/rtp/239.16.10.150:2000
河南戏曲,http://171.8.194.206:8800/rtp/239.16.10.148:2000
河南戏曲,http://171.8.85.62:8800/rtp/239.16.10.148:2000
河南移动,http://171.8.194.206:8800/rtp/239.16.10.76:2000
河南移动,http://171.8.194.206:8800/rtp/239.16.10.79:2000
河南移动,http://171.8.85.62:8800/rtp/239.16.10.76:2000
河南移动,http://171.8.85.62:8800/rtp/239.16.10.79:2000
睛彩中原,http://171.8.194.206:8800/rtp/239.16.10.78:2000
睛彩中原,http://171.8.85.62:8800/rtp/239.16.10.78:2000
健康中原,http://171.8.194.206:8800/rtp/239.16.10.131:2000
健康中原,http://171.8.85.62:8800/rtp/239.16.10.131:2000
欢腾购物,http://171.8.194.206:8800/rtp/239.16.10.125:2000
欢腾购物,http://171.8.194.206:8800/rtp/239.16.10.216:2000
欢腾购物,http://171.8.85.62:8800/rtp/239.16.10.125:2000
欢腾购物,http://171.8.85.62:8800/rtp/239.16.10.216:2000
其他频道,#genre#
SiTV乐游,http://171.8.194.206:8800/rtp/239.16.10.240:2000
SiTV乐游,http://171.8.85.62:8800/rtp/239.16.10.240:2000
SiTV动漫秀场,http://171.8.194.206:8800/rtp/239.16.10.234:2000
SiTV动漫秀场,http://171.8.85.62:8800/rtp/239.16.10.234:2000
SiTV都市剧场,http://171.8.194.206:8800/rtp/239.16.10.232:2000
SiTV都市剧场,http://171.8.85.62:8800/rtp/239.16.10.232:2000
SiTV金色学堂,http://171.8.194.206:8800/rtp/239.16.10.244:2000
SiTV金色学堂,http://171.8.85.62:8800/rtp/239.16.10.244:2000
SiTV魅力足球,http://171.8.194.206:8800/rtp/239.16.10.242:2000
SiTV魅力足球,http://171.8.85.62:8800/rtp/239.16.10.242:2000
大象新闻,http://171.8.194.206:8800/rtp/239.16.10.192:2000
大象新闻,http://171.8.85.62:8800/rtp/239.16.10.192:2000
河南4K实验,http://171.8.194.206:8800/rtp/239.16.10.210:2000
河南4K实验,http://171.8.85.62:8800/rtp/239.16.10.210:2000
河南IPTV导视,http://171.8.194.206:8800/rtp/239.16.10.218:2000
河南IPTV导视,http://171.8.85.62:8800/rtp/239.16.10.218:2000
百姓调解,http://171.8.194.206:8800/rtp/239.16.10.183:2000
百姓调解,http://171.8.85.62:8800/rtp/239.16.10.183:2000
